,election_year,election_round,place_(zz_=_exterior),municipality_code,unnamed:_4,municipality_name,office,party_number,party_initials,party_name,number_of_votes
58,2010,1,ZZ,29378,29378,SERVIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,6
59,2010,1,ZZ,29378,29378,SERVIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,8
60,2010,1,ZZ,29378,29378,SERVIA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,1
61,2010,1,ZZ,29378,29378,SERVIA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,1
62,2010,1,ZZ,29378,29378,SERVIA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,3
63,2010,1,ZZ,29378,29378,SERVIA,Presidente,43,PV,PARTIDO VERDE,3
64,2010,1,ZZ,11100,29386,ALEMANHA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,217
65,2010,1,ZZ,11100,29386,ALEMANHA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,306
66,2010,1,ZZ,11100,29386,ALEMANHA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,5
67,2010,1,ZZ,11100,29386,ALEMANHA,Presidente,29,PCO,PARTIDO DA CAUSA OPERARIA,1
68,2010,1,ZZ,11100,29386,ALEMANHA,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,2
69,2010,1,ZZ,11100,29386,ALEMANHA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,2
70,2010,1,ZZ,11100,29386,ALEMANHA,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,8
71,2010,1,ZZ,11100,29386,ALEMANHA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,8
72,2010,1,ZZ,11100,29386,ALEMANHA,Presidente,43,PV,PARTIDO VERDE,236
73,2010,1,ZZ,98027,29394,GUINE BISSAU,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,7
74,2010,1,ZZ,98027,29394,GUINE BISSAU,Presidente,13,PT,PARTIDO DOS TRABALHADORES,18
75,2010,1,ZZ,98027,29394,GUINE BISSAU,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,1
76,2010,1,ZZ,98027,29394,GUINE BISSAU,Presidente,43,PV,PARTIDO VERDE,22
77,2010,1,ZZ,11185,29408,COLOMBIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,133
78,2010,1,ZZ,11185,29408,COLOMBIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,93
79,2010,1,ZZ,11185,29408,COLOMBIA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,1
80,2010,1,ZZ,11185,29408,COLOMBIA,Presidente,29,PCO,PARTIDO DA CAUSA OPERARIA,1
81,2010,1,ZZ,11185,29408,COLOMBIA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,1
82,2010,1,ZZ,11185,29408,COLOMBIA,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,4
83,2010,1,ZZ,11185,29408,COLOMBIA,Presidente,43,PV,PARTIDO VERDE,36
84,2010,1,ZZ,11266,29416,ESTADOS UNIDOS,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,1938
85,2010,1,ZZ,11266,29416,ESTADOS UNIDOS,Presidente,13,PT,PARTIDO DOS TRABALHADORES,1795
86,2010,1,ZZ,11266,29416,ESTADOS UNIDOS,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,9
87,2010,1,ZZ,11266,29416,ESTADOS UNIDOS,Presidente,29,PCO,PARTIDO DA CAUSA OPERARIA,3
88,2010,1,ZZ,11266,29416,ESTADOS UNIDOS,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,11
89,2010,1,ZZ,11266,29416,ESTADOS UNIDOS,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,14
90,2010,1,ZZ,11266,29416,ESTADOS UNIDOS,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,57
91,2010,1,ZZ,11266,29416,ESTADOS UNIDOS,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,26
92,2010,1,ZZ,11266,29416,ESTADOS UNIDOS,Presidente,43,PV,PARTIDO VERDE,1486
93,2010,1,ZZ,39187,39187,REPUBLICA DO CONGO,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,6
94,2010,1,ZZ,39187,39187,REPUBLICA DO CONGO,Presidente,13,PT,PARTIDO DOS TRABALHADORES,6
95,2010,1,ZZ,39187,39187,REPUBLICA DO CONGO,Presidente,43,PV,PARTIDO VERDE,4
96,2010,1,ZZ,98922,29432,BELGICA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,301
97,2010,1,ZZ,98922,29432,BELGICA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,464
98,2010,1,ZZ,98922,29432,BELGICA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,2
99,2010,1,ZZ,98922,29432,BELGICA,Presidente,29,PCO,PARTIDO DA CAUSA OPERARIA,2
100,2010,1,ZZ,98922,29432,BELGICA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,4
101,2010,1,ZZ,98922,29432,BELGICA,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,13
102,2010,1,ZZ,98922,29432,BELGICA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,7
103,2010,1,ZZ,98922,29432,BELGICA,Presidente,43,PV,PARTIDO VERDE,290
104,2010,1,ZZ,98647,29440,ROMENIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,10
105,2010,1,ZZ,98647,29440,ROMENIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,5
106,2010,1,ZZ,98647,29440,ROMENIA,Presidente,43,PV,PARTIDO VERDE,14
107,2010,1,ZZ,29238,29459,HUNGRIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,23
108,2010,1,ZZ,29238,29459,HUNGRIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,33
109,2010,1,ZZ,29238,29459,HUNGRIA,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1
110,2010,1,ZZ,29238,29459,HUNGRIA,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,1
111,2010,1,ZZ,29238,29459,HUNGRIA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,4
112,2010,1,ZZ,29238,29459,HUNGRIA,Presidente,43,PV,PARTIDO VERDE,10
113,2010,1,ZZ,11142,29467,ARGENTINA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,546
114,2010,1,ZZ,11142,29467,ARGENTINA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,1187
115,2010,1,ZZ,11142,29467,ARGENTINA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,5
116,2010,1,ZZ,11142,29467,ARGENTINA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,6
117,2010,1,ZZ,11142,29467,ARGENTINA,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,20
118,2010,1,ZZ,11142,29467,ARGENTINA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,9
119,2010,1,ZZ,11142,29467,ARGENTINA,Presidente,43,PV,PARTIDO VERDE,294
120,2010,1,ZZ,11320,29475,GUIANA FRANCESA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,496
121,2010,1,ZZ,11320,29475,GUIANA FRANCESA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,992
122,2010,1,ZZ,11320,29475,GUIANA FRANCESA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,3
123,2010,1,ZZ,11320,29475,GUIANA FRANCESA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,5
124,2010,1,ZZ,11320,29475,GUIANA FRANCESA,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,6
125,2010,1,ZZ,11320,29475,GUIANA FRANCESA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,7
126,2010,1,ZZ,11320,29475,GUIANA FRANCESA,Presidente,43,PV,PARTIDO VERDE,294
127,2010,1,ZZ,98086,29483,EGITO,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,10
128,2010,1,ZZ,98086,29483,EGITO,Presidente,13,PT,PARTIDO DOS TRABALHADORES,21
129,2010,1,ZZ,98086,29483,EGITO,Presidente,43,PV,PARTIDO VERDE,11
130,2010,1,ZZ,98981,29491,AUSTRALIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,14
131,2010,1,ZZ,98981,29491,AUSTRALIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,22
132,2010,1,ZZ,98981,29491,AUSTRALIA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,1
133,2010,1,ZZ,98981,29491,AUSTRALIA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,1
134,2010,1,ZZ,98981,29491,AUSTRALIA,Presidente,43,PV,PARTIDO VERDE,12
135,2010,1,ZZ,11584,29505,VENEZUELA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,247
136,2010,1,ZZ,11584,29505,VENEZUELA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,181
137,2010,1,ZZ,11584,29505,VENEZUELA,Presidente,29,PCO,PARTIDO DA CAUSA OPERARIA,1
138,2010,1,ZZ,11584,29505,VENEZUELA,Presidente,43,PV,PARTIDO VERDE,32
139,2010,1,ZZ,11266,29513,ESTADOS UNIDOS,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,325
140,2010,1,ZZ,11266,29513,ESTADOS UNIDOS,Presidente,13,PT,PARTIDO DOS TRABALHADORES,83
141,2010,1,ZZ,11266,29513,ESTADOS UNIDOS,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,2
142,2010,1,ZZ,11266,29513,ESTADOS UNIDOS,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1
143,2010,1,ZZ,11266,29513,ESTADOS UNIDOS,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,1
144,2010,1,ZZ,11266,29513,ESTADOS UNIDOS,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
145,2010,1,ZZ,11266,29513,ESTADOS UNIDOS,Presidente,43,PV,PARTIDO VERDE,123
146,2010,1,ZZ,98787,29530,AFRICA DO SUL,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,29
147,2010,1,ZZ,98787,29530,AFRICA DO SUL,Presidente,13,PT,PARTIDO DOS TRABALHADORES,16
148,2010,1,ZZ,98787,29530,AFRICA DO SUL,Presidente,43,PV,PARTIDO VERDE,22
149,2010,1,ZZ,98523,29548,CINGAPURA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,105
150,2010,1,ZZ,98523,29548,CINGAPURA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,12
151,2010,1,ZZ,98523,29548,CINGAPURA,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1
152,2010,1,ZZ,98523,29548,CINGAPURA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,2
153,2010,1,ZZ,98523,29548,CINGAPURA,Presidente,43,PV,PARTIDO VERDE,17
154,2010,1,ZZ,11444,29556,PARAGUAI,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,632
155,2010,1,ZZ,11444,29556,PARAGUAI,Presidente,13,PT,PARTIDO DOS TRABALHADORES,650
156,2010,1,ZZ,11444,29556,PARAGUAI,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,2
157,2010,1,ZZ,11444,29556,PARAGUAI,Presidente,29,PCO,PARTIDO DA CAUSA OPERARIA,1
158,2010,1,ZZ,11444,29556,PARAGUAI,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,4
159,2010,1,ZZ,11444,29556,PARAGUAI,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,1
160,2010,1,ZZ,11444,29556,PARAGUAI,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,4
161,2010,1,ZZ,11444,29556,PARAGUAI,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
162,2010,1,ZZ,11444,29556,PARAGUAI,Presidente,43,PV,PARTIDO VERDE,75
163,2010,1,ZZ,11584,29564,VENEZUELA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,24
164,2010,1,ZZ,11584,29564,VENEZUELA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,35
165,2010,1,ZZ,11584,29564,VENEZUELA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,1
166,2010,1,ZZ,11584,29564,VENEZUELA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
167,2010,1,ZZ,11584,29564,VENEZUELA,Presidente,43,PV,PARTIDO VERDE,5
168,2010,1,ZZ,11800,29572,BOLIVIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,44
169,2010,1,ZZ,11800,29572,BOLIVIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,49
170,2010,1,ZZ,11800,29572,BOLIVIA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,1
171,2010,1,ZZ,11800,29572,BOLIVIA,Presidente,29,PCO,PARTIDO DA CAUSA OPERARIA,1
172,2010,1,ZZ,11800,29572,BOLIVIA,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1
173,2010,1,ZZ,11800,29572,BOLIVIA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,1
174,2010,1,ZZ,11800,29572,BOLIVIA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
175,2010,1,ZZ,11800,29572,BOLIVIA,Presidente,43,PV,PARTIDO VERDE,17
176,2010,1,ZZ,11444,29580,PARAGUAI,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,8
177,2010,1,ZZ,11444,29580,PARAGUAI,Presidente,13,PT,PARTIDO DOS TRABALHADORES,13
178,2010,1,ZZ,11444,29580,PARAGUAI,Presidente,43,PV,PARTIDO VERDE,6
179,2010,1,ZZ,98485,29599,DINAMARCA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,68
180,2010,1,ZZ,98485,29599,DINAMARCA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,126
181,2010,1,ZZ,98485,29599,DINAMARCA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,3
182,2010,1,ZZ,98485,29599,DINAMARCA,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,5
183,2010,1,ZZ,98485,29599,DINAMARCA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,2
184,2010,1,ZZ,98485,29599,DINAMARCA,Presidente,43,PV,PARTIDO VERDE,67
185,2010,1,ZZ,11142,29602,ARGENTINA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,33
186,2010,1,ZZ,11142,29602,ARGENTINA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,105
187,2010,1,ZZ,11142,29602,ARGENTINA,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,1
188,2010,1,ZZ,11142,29602,ARGENTINA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
189,2010,1,ZZ,11142,29602,ARGENTINA,Presidente,43,PV,PARTIDO VERDE,13
190,2010,1,ZZ,98248,29610,SENEGAL,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,3
191,2010,1,ZZ,98248,29610,SENEGAL,Presidente,13,PT,PARTIDO DOS TRABALHADORES,16
192,2010,1,ZZ,98248,29610,SENEGAL,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,2
193,2010,1,ZZ,98248,29610,SENEGAL,Presidente,43,PV,PARTIDO VERDE,20
194,2010,1,ZZ,98221,29637,SIRIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,7
195,2010,1,ZZ,98221,29637,SIRIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,37
196,2010,1,ZZ,98221,29637,SIRIA,Presidente,29,PCO,PARTIDO DA CAUSA OPERARIA,1
197,2010,1,ZZ,98221,29637,SIRIA,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,4
198,2010,1,ZZ,98221,29637,SIRIA,Presidente,43,PV,PARTIDO VERDE,3
199,2010,1,ZZ,29645,29645,TIMOR-LESTE,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,9
200,2010,1,ZZ,29645,29645,TIMOR-LESTE,Presidente,13,PT,PARTIDO DOS TRABALHADORES,26
201,2010,1,ZZ,29645,29645,TIMOR-LESTE,Presidente,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,1
202,2010,1,ZZ,29645,29645,TIMOR-LESTE,Presidente,43,PV,PARTIDO VERDE,40
203,2010,1,ZZ,29653,29653,CATAR,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,26
204,2010,1,ZZ,29653,29653,CATAR,Presidente,13,PT,PARTIDO DOS TRABALHADORES,19
205,2010,1,ZZ,29653,29653,CATAR,Presidente,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1
206,2010,1,ZZ,29653,29653,CATAR,Presidente,43,PV,PARTIDO VERDE,16
207,2010,1,ZZ,98540,30880,CHINA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,7
208,2010,1,ZZ,98540,30880,CHINA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,3
209,2010,1,ZZ,29033,29661,IRLANDA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,48
210,2010,1,ZZ,29033,29661,IRLANDA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,29
211,2010,1,ZZ,29033,29661,IRLANDA,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,1
212,2010,1,ZZ,29033,29661,IRLANDA,Presidente,43,PV,PARTIDO VERDE,25
213,2010,1,ZZ,11444,29670,PARAGUAI,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,17
214,2010,1,ZZ,11444,29670,PARAGUAI,Presidente,13,PT,PARTIDO DOS TRABALHADORES,37
215,2010,1,ZZ,11444,29670,PARAGUAI,Presidente,43,PV,PARTIDO VERDE,11
216,2010,1,ZZ,98744,29688,SUECIA,Presidente,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,189
217,2010,1,ZZ,98744,29688,SUECIA,Presidente,13,PT,PARTIDO DOS TRABALHADORES,287
218,2010,1,ZZ,98744,29688,SUECIA,Presidente,21,PCB,PARTIDO COMUNISTA BRASILEIRO,1
219,2010,1,ZZ,98744,29688,SUECIA,Presidente,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,3
220,2010,1,ZZ,98744,29688,SUECIA,Presidente,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO,5
